sentiment_clean,volume_usd,avg_leverage,win_rate,pnl_sum,long_share,n_days
Extreme Greed,39406770.25,39406770.25,0.49008905486929044,176965.491774,0.4841999425452456,1
Fear,704158492.98,704158492.98,0.41514592406122314,6699925.190574,0.49361698948988203,1
Greed,38501223.95,38501223.95,0.24208193778207177,1063205.5117920002,0.6311418658499436,3
Neutral,21843234.35,21843234.35,0.3171824674415348,158742.378078,0.4908276151799468,1
nan,310275273.03,310275273.03,0.34917102481361967,71709.347634,0.5310633878565335,1
